group,year,gini,theil
1405,10,0.302366936,0.153108557
1406,1,0.26052993,0.10361354
1406,2,0.283517563,0.136319539
1406,3,0.291764507,0.145766162
1406,4,0.250132339,0.093936063
1406,5,0.32462646,0.199404938
1406,6,0.32537263,0.164577335
1406,7,0.415567089,0.282021503
1406,8,0.366067971,0.232439428
1406,9,0.351662462,0.221891728
1406,10,0.33282836,0.180728901
1407,1,0,0
1407,2,0,0
1407,3,0,0
1407,4,0,0
1407,5,0,0
1407,6,0,0
1407,7,0.666515396,0.391028793
1407,8,0.434912111,0.236302299
1407,9,0.297660441,0.124919833
1407,10,0.445519309,0.248061233
1501,1,0,0
1501,2,0,0
1501,3,0,0
1501,4,0,0
1501,5,0,0
1501,6,0.190776008,0.057795261
1501,7,0.192941747,0.061433543
1501,8,0.201611314,0.068909375
1501,9,0.23523816,0.093140422
1501,10,0.233619899,0.089847715
1502,1,0,0
1502,2,0,0
1502,3,0,0
1502,4,0,0
1502,5,0,0
1502,6,0.179054301,0.051618254
1502,7,0.185187515,0.058547425
1502,8,0.196867333,0.071766082
1502,9,0.220421455,0.090976406
1502,10,0.227395721,0.094510565
1503,1,0,0
1503,2,0,0
1503,3,0,0
1503,4,0,0
1503,5,0,0
1503,6,0.219039425,0.07977377
1503,7,0.22294819,0.085581914
1503,8,0.231621675,0.095977834
1503,9,0.22802289,0.0843062
1503,10,0.231135904,0.090775804
1504,1,0,0
1504,2,0,0
1504,3,0,0
1504,4,0,0
1504,5,0,0
1504,6,0.230224442,0.084409718
1504,7,0.232989188,0.087202697
1504,8,0.295393336,0.142443722
1504,9,0.367730492,0.220123146
1504,10,0.313007771,0.153031033
1505,1,0,0
1505,2,0,0
1505,3,0,0
1505,4,0,0
1505,5,0,0
1505,6,0.264629815,0.112628948
1505,7,0.299523426,0.171218771
1505,8,0.2937078,0.174424371
1505,9,0.324464451,0.168869883
1505,10,0.31339802,0.162629388
1506,1,0,0
1506,2,0,0
1506,3,0,0
1506,4,0,0
1506,5,0,0
1506,6,0.264849524,0.107170439
1506,7,0.244666529,0.09391352
1506,8,0.266623613,0.114838319
1506,9,0.327406965,0.180067956
1506,10,0.340475167,0.191656897
1507,1,0,0
1507,2,0,0
1507,3,0,0
1507,4,0,0
1507,5,0,0
1507,6,0.715052565,0.283718469
1507,7,0,0
1507,8,0.512611487,0.33807616
1507,9,0.356452046,0.159667589
1507,10,0.21252846,0.055632155
1601,1,0,0
1601,2,0,0
1601,3,0,0
1601,4,0,0
1601,5,0,0
1601,6,0.204585607,0.064502108
1601,7,0.193867227,0.057667521
1601,8,0.211043032,0.068255964
1601,9,0.244161163,0.098722369
1601,10,0.268873375,0.12292337
1602,1,0,0
1602,2,0,0
1602,3,0,0
1602,4,0,0
1602,5,0,0
1602,6,0.259257071,0.112166985
